English language name                                      | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
Bunganditj                                                 | xbg            |                |               
Bungku                                                     | bkz            |                |               
Bungu                                                      | wun            |                |               
Bunoge Dogon                                               | dgb            |                |               
Bunuba                                                     | bck            |                |               
Bunun                                                      | bnn            |                |               
Buol                                                       | blf            |                |               
Bura-Pabir                                                 | bwr            |                |               
Burak                                                      | bys            |                |               
Buraka                                                     | bkg            |                |               
Burarra                                                    | bvr            |                |               
Burate                                                     | bti            |                |               
Burduna                                                    | bxn            |                |               
Bure                                                       | bvh            |                |               
Buriat                                                     | bua            | bua            |               
Burji                                                      | bji            |                |               
Burmbar                                                    | vrt            |                |               
Burmese                                                    | bur            | bur            | my            
Burmeso                                                    | bzu            |                |               
Buru (Indonesia)                                           | mhs            |                |               
Buru (Nigeria)                                             | bqw            |                |               
Burui                                                      | bry            |                |               
Burumakok                                                  | aip            |                |               
Burun                                                      | bdi            |                |               
Burundian Sign Language                                    | lsb            |                |               
Burunge                                                    | bds            |                |               
Burushaski                                                 | bsk            |                |               
Burusu                                                     | bqr            |                |               
Buruwai                                                    | asi            |                |               
Busa                                                       | bqp            |                |               
Busam                                                      | bxs            |                |               
Busami                                                     | bsm            |                |               
Busang Kayan                                               | bfg            |                |               
Bushi                                                      | buc            |                |               
Bushoong                                                   | buf            |                |               
Buso                                                       | bso            |                |               
Busoa                                                      | bup            |                |               
Bussa                                                      | dox            |                |               
Busuu                                                      | bju            |                |               
Butbut Kalinga                                             | kyb            |                |               
Butmas-Tur                                                 | bnr            |                |               
Butuanon                                                   | btw            |                |               
Buwal                                                      | bhs            |                |               
Buya                                                       | byy            |                |               
Buyu                                                       | byi            |                |               
Buyuan Jinuo                                               | jiy            |                |               
Bwa                                                        | bww            |                |               
Bwaidoka                                                   | bwd            |                |               
Bwanabwana                                                 | tte            |                |               
Bwatoo                                                     | bwa            |                |               
Bwe Karen                                                  | bwe            |                |               
Bwela                                                      | bwl            |                |               
Bwile                                                      | bwc            |                |               
Bwisi                                                      | bwz            |                |               
Byangsi                                                    | bee            |                |               
Byep                                                       | mkk            |                |               
Bädi Kanum                                                 | khd            |                |               
C'Lela                                                     | dri            |                |               
Caac                                                       | msq            |                |               
Cabiyarí                                                   | cbb            |                |               
Cabécar                                                    | cjp            |                |               
Cacaloxtepec Mixtec                                        | miu            |                |               
Cacaopera                                                  | ccr            |                |               
Cacgia Roglai                                              | roc            |                |               
Cacua                                                      | cbv            |                |               
Caddo                                                      | cad            | cad            |               
Caddoan languages                                          | cdd            |                |               
Cafundo Creole                                             | ccd            |                |               
Cagua                                                      | cbh            |                |               
Cahuarano                                                  | cah            |                |               
Cahuilla                                                   | chl            |                |               
Cajamarca Quechua                                          | qvc            |                |               
Cajatambo North Lima Quechua                               | qvl            |                |               
Cajonos Zapotec                                            | zad            |                |               
Cajun French                                               | frc            |                |               
Caka                                                       | ckx            |                |               
Cakchiquel-Quiché Mixed Language                           | ckz            |                |               
Cakfem-Mushere                                             | cky            |                |               
Calamian Tagbanwa                                          | tbk            |                |               
Calderón Highland Quichua                                  | qud            |                |               
Callawalla                                                 | caw            |                |               
Caluyanun                                                  | clu            |                |               
Caló                                                       | rmq            |                |               
Caló                                                       | rmr            |                |               
Cambodian Sign Language                                    | csx            |                |               
Cameroon Mambila                                           | mcu            |                |               
Cameroon Pidgin                                            | wes            |                |               
Camling                                                    | rab            |                |               
Campalagian                                                | cml            |                |               
Campidanese Sardinian                                      | sro            |                |               
Camsá                                                      | kbh            |                |               
Camtho                                                     | cmt            |                |               
Camunic                                                    | xcc            |                |               
Candoshi-Shapra                                            | cbu            |                |               
Canela                                                     | ram            |                |               
Canichana                                                  | caz            |                |               
Cao Lan                                                    | mlc            |                |               
Cao Miao                                                   | cov            |                |               
Capanahua                                                  | kaq            |                |               
Capiznon                                                   | cps            |                |               
Cappadocian Greek                                          | cpg            |                |               
Caquinte                                                   | cot            |                |               
Car Nicobarese                                             | caq            |                |               
Cara                                                       | cfd            |                |               
Carabayo                                                   | cby            |                |               
Caramanta                                                  | crf            |                |               
Carapana                                                   | cbc            |                |               
Carian                                                     | xcr            |                |               
Caribbean Hindustani                                       | hns            |                |               
Caribbean Javanese                                         | jvn            |                |               
Carijona                                                   | cbd            |                |               
Carolina Algonquian                                        | crr            |                |               
Carolinian                                                 | cal            |                |               
Carpathian Romani                                          | rmc            |                |               
Carrier                                                    | crx            |                |               
Cashibo-Cacataibo                                          | cbr            |                |               
Cashinahua                                                 | cbs            |                |               
Casiguran Dumagat Agta                                     | dgc            |                |               
Casuarina Coast Asmat                                      | asc            |                |               
Cataelano Mandaya                                          | mst            |                |               
Catalan Sign Language                                      | csc            |                |               
Catalan                                                    | cat            | cat            | ca            
Catawba                                                    | chc            |                |               
Cauca                                                      | cca            |                |               
Caucasian languages                                        | cau            | cau            |               
Cavineña                                                   | cav            |                |               
Cayubaba                                                   | cyb            |                |               
Cayuga                                                     | cay            |                |               
Cayuse                                                     | xcy            |                |               
Cañar Highland Quichua                                     | qxr            |                |               
Ca̱hungwa̱rya̱                                             | nat            |                |               
Cebaara Senoufo                                            | sef            |                |               
Cebuano                                                    | ceb            | ceb            |               
Celtiberian                                                | xce            |                |               
Celtic languages                                           | cel            | cel            |               
Cemuhî                                                     | cam            |                |               
Cen                                                        | cen            |                |               
Central American Indian languages                          | cai            | cai            |               
Central Asmat                                              | cns            |                |               
Central Atlas Tamazight                                    | tzm            |                |               
Central Awyu                                               | awu            |                |               
Central Aymara                                             | ayr            |                |               
Central Bai                                                | bca            |                |               
Central Berawan                                            | zbc            |                |               
Central Bikol                                              | bcl            |                |               
Central Bontok                                             | lbk            |                |               
Central Cagayan Agta                                       | agt            |                |               
Central Grebo                                              | grv            |                |               
Central Hongshuihe Zhuang                                  | zch            |                |               
Central Huasteca Nahuatl                                   | nch            |                |               
Central Huishui Hmong                                      | hmc            |                |               
Central Kanuri                                             | knc            |                |               
Central Kurdish                                            | ckb            |                |               
Central Maewo                                              | mwo            |                |               
Central Malay                                              | pse            |                |               
Central Malayo-Polynesian languages                        | plf            |                |               
Central Masela                                             | mxz            |                |               
Central Mashan Hmong                                       | hmm            |                |               
Central Mazahua                                            | maz            |                |               
Central Melanau                                            | mel            |                |               
Central Mnong                                              | cmo            |                |               
Central Nahuatl                                            | nhn            |                |               
Central Nicobarese                                         | ncb            |                |               
Central Ojibwa                                             | ojc            |                |               
Central Okinawan                                           | ryu            |                |               
Central Palawano                                           | plc            |                |               
Central Pame                                               | pbs            |                |               
Central Pashto                                             | pst            |                |               
Central Pomo                                               | poo            |                |               
Central Puebla Nahuatl                                     | ncx            |                |               
Central Sama                                               | sml            |                |               
Central Siberian Yupik                                     | ess            |                |               
Central Sierra Miwok                                       | csm            |                |               
Central Subanen                                            | syb            |                |               
Central Sudanic languages                                  | csu            |                |               
Central Tagbanwa                                           | tgt            |                |               
Central Tarahumara                                         | tar            |                |               
Central Tunebo                                             | tuf            |                |               
Central Yupik                                              | esu            |                |               
Central-Eastern Niger Fulfulde                             | fuq            |                |               
Centúúm                                                    | cet            |                |               
Cerma                                                      | cme            |                |               
Chabu                                                      | sbf            |                |               
Chachapoyas Quechua                                        | quk            |                |               
Chachi                                                     | cbi            |                |               
Chadian Arabic                                             | shu            |                |               
Chadian Sign Language                                      | cds            |                |               
Chadic languages                                           | cdc            |                |               
Chadong                                                    | cdy            |                |               
Chagatai                                                   | chg            | chg            |               
Chaima                                                     | ciy            |                |               
Chak                                                       | ckh            |                |               
Chakali                                                    | cli            |                |               
Chakavian                                                  | ckm            |                |               
Chakma                                                     | ccp            |                |               
Chala                                                      | cll            |                |               
Chaldean Neo-Aramaic                                       | cld            |                |               
Chalikha                                                   | tgf            |                |               
Chamacoco                                                  | ceg            |                |               
Chamalal                                                   | cji            |                |               
Chamari                                                    | cdg            |                |               
Chambeali                                                  | cdh            |                |               
Chambri                                                    | can            |                |               
Chamic languages                                           | cmc            | cmc            |               
Chamicuro                                                  | ccc            |                |               
Chamorro                                                   | cha            | cha            | ch            
Chang Naga                                                 | nbc            |                |               
Changriwa                                                  | cga            |                |               
Changthang                                                 | cna            |                |               
Chantyal                                                   | chx            |                |               
Chané                                                      | caj            |                |               
Chara                                                      | cra            |                |               
Chaudangsi                                                 | cdn            |                |               
Chaungtha                                                  | ccq            |                |               
Chaura                                                     | crv            |                |               
Chavacano                                                  | cbk            |                |               
Chayahuita                                                 | cbt            |                |               
Chayuco Mixtec                                             | mih            |                |               
Chazumba Mixtec                                            | xtb            |                |               
Che                                                        | ruk            |                |               
Chechen                                                    | che            | che            | ce            
Cheke Holo                                                 | mrn            |                |               
Chemakum                                                   | xch            |                |               
Chenapian                                                  | cjn            |                |               
Chenchu                                                    | cde            |                |               
Chenoua                                                    | cnu            |                |               
Chepang                                                    | cdm            |                |               
Chepya                                                     | ycp            |                |               
Cherepon                                                   | cpn            |                |               
Cherokee                                                   | chr            | chr            |               
Chesu                                                      | ych            |                |               
Chetco                                                     | ctc            |                |               
Chewong                                                    | cwg            |                |               
Cheyenne                                                   | chy            | chy            |               
Chhattisgarhi                                              | hne            |                |               
Chhintange                                                 | ctn            |                |               
Chhulung                                                   | cur            |                |               
Chiangmai Sign Language                                    | csd            |                |               
Chiapanec                                                  | cip            |                |               
Chibcha                                                    | chb            | chb            |               
Chibchan languages                                         | cba            |                |               
Chicahuaxtla Triqui                                        | trs            |                |               
Chichicapan Zapotec                                        | zpv            |                |               
Chichimeca-Jonaz                                           | pei            |                |               
Chickasaw                                                  | cic            |                |               
Chicomuceltec                                              | cob            |                |               
Chiga                                                      | cgg            |                |               
Chigmecatitlán Mixtec                                      | mii            |                |               
Chilcotin                                                  | clc            |                |               
Chilean Quechua                                            | cqu            |                |               
Chilean Sign Language                                      | csg            |                |               
Chilisso                                                   | clh            |                |               
Chiltepec Chinantec                                        | csa            |                |               
Chimakum                                                   | cmk            |                |               
Chimalapa Zoque                                            | zoh            |                |               
Chimariko                                                  | cid            |                |               
Chimborazo Highland Quichua                                | qug            |                |               
Chimila                                                    | cbg            |                |               
China Buriat                                               | bxu            |                |               
Chinali                                                    | cih            |                |               
Chinbon Chin                                               | cnb            |                |               
Chincha Quechua                                            | qxc            |                |               
Chinese (family)                                           | zhx            |                |               
Chinese Pidgin English                                     | cpi            |                |               
Chinese Sign Language                                      | csl            |                |               
Chinese                                                    | chi            | chi            | zh            
Chinook jargon                                             | chn            | chn            |               
Chinook                                                    | chh            |                |               
Chipaya                                                    | cap            |                |               
Chipewyan                                                  | chp            | chp            |               
Chipiajes                                                  | cbe            |                |               
Chippewa                                                   | ciw            |                |               
Chiquihuitlán Mazatec                                      | maq            |                |               
Chiquitano                                                 | cax            |                |               
Chiquián Ancash Quechua                                    | qxa            |                |               
Chiripá                                                    | nhd            |                |               
Chiru                                                      | cdf            |                |               
Chitimacha                                                 | ctm            |                |               
Chitkuli Kinnauri                                          | cik            |                |               
Chittagonian                                               | ctg            |                |               
Chitwania Tharu                                            | the            |                |               
Choapan Zapotec                                            | zpc            |                |               
Chocangacakha                                              | cgk            |                |               
Chochotec                                                  | coz            |                |               
Choctaw                                                    | cho            | cho            |               
Chodri                                                     | cdi            |                |               
Chokri Naga                                                | nri            |                |               
Chokwe                                                     | cjk            |                |               
Chol                                                       | ctu            |                |               
Cholón                                                     | cht            |                |               
Chong                                                      | cog            |                |               
Choni                                                      | cda            |                |               
Chonyi-Dzihana-Kauma                                       | coh            |                |               
Chopi                                                      | cce            |                |               
Chorasmian                                                 | xco            |                |               
Chorotega                                                  | cjr            |                |               
Chortí                                                     | caa            |                |               
Chothe Naga                                                | nct            |                |               
Chrau                                                      | crw            |                |               
Chru                                                       | cje            |                |               
Chuanqiandian Cluster Miao                                 | cqd            |                |               
Chuave                                                     | cjv            |                |               
Chug                                                       | cvg            |                |               
Chuj                                                       | cac            |                |               
Chuka                                                      | cuh            |                |               
Chukot                                                     | ckt            |                |               
Chukwa                                                     | cuw            |                |               
Chulym                                                     | clw            |                |               
Chumburung                                                 | ncu            |                |               
Chung                                                      | cnq            |                |               
Churahi                                                    | cdj            |                |               
Church Slavic                                              | chu            | chu            | cu            
Chut                                                       | scb            |                |               
Chuukese                                                   | chk            | chk            |               
Chuvantsy                                                  | xcv            |                |               
Chuvash                                                    | chv            | chv            | cv            
Chuwabu                                                    | chw            |                |               
Chácobo                                                    | cao            |                |               
Ci Gbe                                                     | cib            |                |               
Cia-Cia                                                    | cia            |                |               
Cibak                                                      | ckl            |                |               
Cicipu                                                     | awc            |                |               
Cimbrian                                                   | cim            |                |               
Cinda-Regi-Tiyal                                           | cdr            |                |               
Cineni                                                     | cie            |                |               
Cinta Larga                                                | cin            |                |               
Cisalpine Gaulish                                          | xcg            |                |               
Cishingini                                                 | asg            |                |               
Citak                                                      | txt            |                |               
Ciwogai                                                    | tgd            |                |               
Clallam                                                    | clm            |                |               
Classical Armenian                                         | xcl            |                |               
Classical Mandaic                                          | myz            |                |               
Classical Mongolian                                        | cmg            |                |               
Classical Nahuatl                                          | nci            |                |               
Classical Newari                                           | nwc            | nwc            |               
Classical Quechua                                          | qwc            |                |               
Classical Syriac                                           | syc            | syc            |               
Classical Tibetan                                          | xct            |                |               
Coahuilteco                                                | xcw            |                |               
Coast Miwok                                                | csi            |                |               
Coastal Kadazan                                            | kzj            |                |               
Coastal Konjo                                              | kjc            |                |               
Coatecas Altas Zapotec                                     | zca            |                |               
Coatepec Nahuatl                                           | naz            |                |               
Coatlán Mixe                                               | mco            |                |               
Coatlán Zapotec                                            | zps            |                |               
Coatzospan Mixtec                                          | miz            |                |               
Cocama-Cocamilla                                           | cod            |                |               
Cochimi                                                    | coj            |                |               
Cocopa                                                     | coc            |                |               
Cocos Islands Malay                                        | coa            |                |               
Coeur d'Alene                                              | crd            |                |               
Cofán                                                      | con            |                |               
Cogui                                                      | kog            |                |               
Col                                                        | liw            |                |               
Colombian Sign Language                                    | csn            |                |               
Colonia Tovar German                                       | gct            |                |               
Colorado                                                   | cof            |                |               
Columbia-Wenatchi                                          | col            |                |               
Comaltepec Chinantec                                       | cco            |                |               
Comanche                                                   | com            |                |               
Comecrudo                                                  | xcm            |                |               
Como Karim                                                 | cfg            |                |               
Comox                                                      | coo            |                |               
Con                                                        | cno            |                |               
Congo Swahili                                              | swc            |                |               
Coos                                                       | csz            |                |               
Copainalá Zoque                                            | zoc            |                |               
Copala Triqui                                              | trc            |                |               
Coptic                                                     | cop            | cop            |               
Coquille                                                   | coq            |                |               
Cori                                                       | cry            |                |               
Cornish                                                    | cor            | cor            | kw            
Corongo Ancash Quechua                                     | qwa            |                |               
Corsican                                                   | cos            | cos            | co            
Costa Rican Sign Language                                  | csr            |                |               
Cotabato Manobo                                            | mta            |                |               
Cotoname                                                   | xcn            |                |               
Cowlitz                                                    | cow            |                |               
Coxima                                                     | kox            |                |               
Coyaima                                                    | coy            |                |               
Coyotepec Popoloca                                         | pbf            |                |               
Coyutla Totonac                                            | toc            |                |               
Cree                                                       | cre            | cre            | cr            
Creek                                                      | mus            | mus            |               
Creoles and pidgins                                        | crp            | crp            |               
Creoles and pidgins, English based                         | cpe            | cpe            |               
Creoles and pidgins, French-based                          | cpf            | cpf            |               
Creoles and pidgins, Portuguese-based                      | cpp            | cpp            |               
Crimean Tatar                                              | crh            | crh            |               
Croatia Sign Language                                      | csq            |                |               
Croatian                                                   | hrv            | hrv            | hr            
Cross River Mbembe                                         | mfn            |                |               
Crow                                                       | cro            |                |               
Cruzeño                                                    | crz            |                |               
Cua                                                        | cua            |                |               
Cuba Sign Language                                         | csf            |                |               
Cubeo                                                      | cub            |                |               
Cuiba                                                      | cui            |                |               
Cuitlatec                                                  | cuy            |                |               
Culina                                                     | cul            |                |               
Cumanagoto                                                 | cuo            |                |               
Cumbric                                                    | xcb            |                |               
Cumeral                                                    | cum            |                |               
Cun                                                        | cuq            |                |               
Cuneiform Luwian                                           | xlu            |                |               
Cung                                                       | cug            |                |               
Cupeño                                                     | cup            |                |               
